Title,Information,Price sale,Price origin,Loại card đồ họa,Dung lượng RAM,Loại RAM,Số khe ram,Ổ cứng,Kích thước màn hình,Công nghệ màn hình,Pin,Hệ điều hành,Độ phân giải màn hình,Loại CPU,Cổng giao tiếp,Chip AI
Laptop Lenovo ThinkBook 16 G6 IRL 21KH00Q0VN,i5-13420H/16GB/512GB PCIE/16.0WUXGA/WIN11/XÁM,17.590.000đ,20.490.000đ,Intel UHD Graphics,16GB,DDR5-5200,2x 8GB O-DIMM (nâng cấp tối đa 64GB DDR5-5200),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, SSD 2x M.2, nâng cấp tối đa 2TB)",16 inches,Độ sáng 300nits  Màn hình chống chói Độ phủ màu 45% NTSC,71Wh,Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB 3.2 Gen 1  1x USB-C 3.2 Gen 2 (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 40Gbps 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack 1x Ethernet (RJ-45) 1x SD card reader",
Laptop Acer Aspire 7 A715-76G-59MW,I5-12450H/8GB/512GB PCIE/15.6 FHD 144HZ/VGA 4GB RTX2050/WIN11/ĐEN,15.490.000đ,21.490.000đ,"NVIDIA GeForce RTX 2050, 4 GB",8GB,DDR4 3200 MHz,"2 khe (1 khe 8 GB + 1 khe rời, nâng cấp tối đa 32 GB)","512 GB SSD NVMe PCIe (Có thể tháo ra, lắp thanh khác tối đa 1 TB)",15.6 inches,Acer ComfyView,"3-cell Li-ion, 50 Wh",Windows 11 Home SL,1920 x 1080 pixels (FullHD),"Intel Core i5 - 12450H (8 lõi / 12 luồng, 2.00 GHz, Turbo Boost 4.4 GHz, 12 MB)","1x USB Type-C (hỗ trợ USB, DisplayPort, Thunderbolt 4)  1x Jack tai nghe 3.5 mm 3x USB 3.2 1x HDMI 1x LAN (RJ45)",
Laptop ASUS TUF Gaming A15 FA506NFR-HN006W,R7-7435HS/16GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD 144HZ/WIN11/ĐEN,16.990.000đ,21.990.000đ,"NVIDIA Geforce RTX 2050, 104 TOPS",16GB,DDR5-5600,"2 khe (1x16GB + 1 khe rời, nâng cấp tối đa 32GB)",512GB SSD M2 PCIe (Nâng cấp tối đa 1TB),15.6 inches,Độ sáng 250 nitsĐộ phủ màu 45% NTSCĐộ tương phản 1000:01:00,"48 Wh, 150 W",Windows 11,1920 x 1080 pixels (FullHD),AMD Ryzen 7 7435HS 3.1 - 4.5 GHz,1x RJ45 Gigabit Ethernet 1x USB 3.2 Gen 2 Type-C 3x USB 3.2 Gen 1 Type-A,
Laptop ASUS Vivobook GO 15 E1504FA-NJ454W,R5-7520U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,12.390.000đ,14.490.000đ,AMD Radeon Graphics,16GB,LPDDR5 Onboard,,512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,Độ sáng 250 nitsĐộ phủ màu 45% NTSCMàn hình chống chóiTÜV Rheinland-certified,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7520U (4 lõi / 8 luồng, 4MB cache, up to 4.3 GHz max boost)",1x USB 2.0 Type-A1x USB 3.2 Gen 1 Type-A1x USB 3.2 Gen 1 Type-C1x HDMI 1.41x 3.5mm Combo Audio Jack 1x DC-in,
Laptop MSI Gaming Thin 15 B13UC-1411VN V2,I7-13620H/24GB/512GB PCIE/VGA 4GB RTX3050/15.6 FHD 144HZ/WIN11/XÁM/BALO,19.990.000đ,21.990.000đ,NVIDIA GeForce RTX 3050 Laptop GPU + Intel UHD Graphics,24GB,DDR4 3200MHz,"2 khe (1x 8GB + 1x 16GB, hỗ trợ nâng cấp tối đa 64GB)","1x 512GB M.2-2280 SSD slot (NVMe PCIe Gen4x4) Hỗ trợ nâng cấp: 1x 2.5"""" SATA HDD",15.6 inches,Độ phủ màu 45% NTSCMàn hình chống chói,"3-cell, 52.4WHr",Windows 11 Home,1920 x 1080 pixels (FullHD),Intel Core i7-13620H ,1x Type-C (USB3.2 Gen1 / DisplayPort) 3x Type-A USB3.2 Gen1 1x HDMI (4K @ 30Hz) 1x RJ45 1x Mic-in 1x Headphone-out,
Laptop Lenovo ThinkPad E14 Gen 5 21JK00PEVN,I5-13420H/16GB/512GB PCIE/14.0 WUXGA/WIN11/ĐEN,19.990.000đ,22.990.000đ,Intel UHD Graphics,16GB,DDR4-3200,"2 khe (8GB Soldered + 8GB DDR4-3200, nâng cấp tối đa 40GB (8GB soldered + 32GB SO-DIMM))","512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 (Tối đa hai ổ đĩa, 2x M.2 SSD • M.2 2242 SSD tối đa 1TB mỗi ổ)",14 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,47Wh (USB-C 65W (3 chân)),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB 2.0 1x USB 3.2 (Luôn bật) 1x USB-C 3.2 (truyền dữ liệu, PD 3.0 và DP 1.4) 1x Thunderbolt 4 / USB4 40Gbps (truyền dữ liệu, PD 3.0 và DP 1.4) 1x HDMI 2.1, lên đến 4K/60Hz 1x giắc cắm tai nghe/micrô (3.5 mm) 1x Ethernet (RJ-45)",
Laptop HP 15-FC0086AU A6VV9PA,R5-7430U/16GB/512GB PCIE/15.6 FHD/WIN11/BẠC,12.990.000đ,15.190.000đ,AMD Radeon Graphics,16GB,DDR4-3200 MT/s,2 x 8GB,512 GB PCIe NVMe M.2 SSD,15.6 inches,Độ sáng 250 nitsĐộ phủ màu 45% NTSCMàn hình chống chói,"3-cell, 41 Wh Li-ion polymer",Windows 11 Home ,1920 x 1080 pixels (FullHD),"AMD Ryzen 5 7430U (up to 4.3 GHz max boost clock, 16 MB L3 cache, 6 lõi, 12 luồng)",1x USB Type-C (chỉ hỗ trợ truyền dữ liệu và không hỗ trợ sạc hoặc màn hình ngoài) 2x USB Type-A 1x AC smart pin 1x HDMI 1.4b 1x headphone/microphone combo,
Laptop Lenovo ThinkPad E16 Gen 1 21JN00GJVN,I5-13420H/16GB/512GB PCIE/16.0 WUXGA/WIN11/ĐEN,18.990.000đ,20.990.000đ,Intel UHD Graphics,16GB,DDR4-3200 Onboard,"1 khe trống (Máy nguyên bản 8GB, được tặng 8GB, tối đa 40GB)",512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 (Hai khe cắm M.2 nâng cấp tối đa 1TB),16 inches,Độ sáng 300nits Độ phủ màu 45% NTSCMàn hình chống chói,47Wh,Windows 11 Home Single Language,1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB 2.0 1x USB 3.2 (Always On) 1x USB-C 3.2 (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x RJ-45",
Laptop Lenovo Yoga Slim 7 14IMH9 83CV008EVN,U5-125H/16GB/1TB PCIE/14.0 WUXGA OLED/WIN11 + OFFICE/XÁM,24.990.000đ,25.990.000đ,Intel Arc Graphics,16GB,LPDDR5x-7467,Onboard,"1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Một ổ đĩa, tối đa 1TB M.2 2242 SSD)",14 inches,Độ sáng 400nits Glossy Độ phủ màu 100% DCI-P3 Eyesafe Dolby Vision DisplayHDR True Black 500,65Wh (65W USB-C Slim),"Windows 11 Home Single Language, English + Microsoft 365 Basic + Office Home 2024",1920 x 1200 pixels (WUXGA),"Intel Core Ultra 5 125H, 14 lõi (4P + 8E + 2LPE) / 18 luồng, Max Turbo up to 4.5GHz, 18MB","1x USB-A (USB 5Gbps / USB 3.2 Gen 1), Luôn bật 2x USB-C (Thunderbolt 4 / USB4 40Gbps), với USB PD 3.1 và DisplayPort 1.4 1x HDMI 2.1, lên đến 4K/60Hz 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm)","Intel AI Boost, up to 11 TOPS"
Laptop ASUS Vivobook 16 X1605VA-MB1795W,I7-13620H/16GB/512GB PCIE/16.0 WUXGA/WIN11BẠC,17.290.000đ,19.990.000đ,Intel Iris Xe Graphics,16GB,DDR4,8GB DDR4 on board + 8GB DDR4 SO-DIMM (Có thể nâng cấp; Cần tháo vỏ dưới/trên),512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng 300nitsĐộ phủ màu 45% NTSCMàn hình chống chóiTÜV Rheinland-certified,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i7-13620H 2.4 GHz (24MB Cache, up to 4.9 GHz, 10 lõi, 16 luồng)",1x USB 2.0 Type-A (480Mbps) 1x USB 3.2 Gen 1 Type-C hỗ trợ cấp nguồn (5Gbps) 2x USB 3.2 Gen 1 Type-A (5Gbps) 1x HDMI 1.4 1x Giắc cắm âm thanh kết hợp 3.5mm 1x DC-in,
Laptop ASUS VivoBook 15 X1504VA-NJ070W,I5-1335U/16GB/512GB PCIE/15.6 FHD/WIN11/XANH,14.390.000đ,18.490.000đ,Intel Iris Xe Graphics,16GB,DDR4,2 khe (8GB Onboard + 8GB SO-DIMM),512GB M.2 NVMe PCIe 3.0 SSD,15.6 inches,Độ sáng 250nitsĐộ phủ màu 45% NTSCMàn hình chống chóiTÜV Rheinland-certifiedTỉ lệ 16:9,"42WHrs, 3S1P, 3-cell Li-ion",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-1335U (12MB Cache, 1.3 GHz up to 4.6 GHz, 10 lõi / 12 luồng)",1x USB 2.0 Type-A 1x USB 3.2 Gen 1 Type-C 2x USB 3.2 Gen 1 Type-A 1x HDMI 1.4 1x DC-in,
Laptop ASUS Zenbook 14 UM3406KA-PP555WS,RYZEN AI 7 350/32GB/512GB/14.0 3K OLED 120HZ/WIN11 + OFFICE/ĐEN/TÚI,28.990.000đ,31.990.000đ,AMD Radeon Graphics,32GB,LPDDR5X,Onboard,512GB M.2 NVMe PCIe 4.0 SSD,14 inches,Thời gian phản hồi 0.2msĐộ sáng 400nitsĐộ sáng tối đa 600nits HDRĐộ phủ màu 100% DCI-P3HDR True Black 6001.07 tỷ màuGiảm 70% ánh sáng xanh có hạiTÜV Rheinland-certifiedMàn hình chăm sóc mắt SGS,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"AMD Ryzen AI 7 350 2.0GHz (24MB Cache, up to 5.0GHz, 8 lõi, 16 luồng)",1x USB 3.2 Gen 1 Type-A (5Gbps) 1x USB 3.2 Gen 2 Type-C hỗ trợ hiển thị/sạc (10Gbps) 1x USB 4.0 Gen 3 Type-C hỗ trợ hiển thị/sạc (40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm,AMD XDNA NPU up to 50TOPS
Laptop Lenovo LOQ 15IAX9 83GS001SVN,I5-12450HX/12GB/512GB PCIE/VGA 4GB RTX2050/15.6 FHD 144HZ/WIN11/XÁM,19.290.000đ,20.990.000đ,NVIDIA GeForce RTX 2050 4GB GDDR6,12GB,DDR5-4800,2 khe (1 khe RAM 12GB + 1 khe RAM trống hỗ trợ nâng cấp tối đa 32GB),512GB SSD M.2 2242 PCIe,15.6 inches,Độ sáng tối đa 300 nits Chống chói Độ phủ màu 100% sRGBG-SYNC,"60 Wh, 3 Cell",Windows 11 Home ,1920 x 1080 pixels (FullHD),"Intel Core i5-12450HX (8C/ 12T, up to 4.40GHz, 12MB)",3x USB-A 1x USB-C 1x HDMI 1x Giắc cắm kết hợp tai nghe 1x Ethernet 1x Đầu nối nguồn,
Laptop Lenovo V15 G4 IRU 83A100FYVN,I5-13420H/16GB/512GB PCIE/15.6 FHD/WIN 11/XÁM,13.790.000đ,15.490.000đ,Intel UHD Graphics,16GB,DDR4-3200 Onboard,1 bộ nhớ được hàn vào máy (8GB) + 1 khe DDR4 nâng cấp tối đa 16GB (2 x 8GB),512GB SSD M.2 2242 PCIe 4.0x4 NVMe (up to 1TB),15.6 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,38Wh,Windows 11 Home Single Language,1920 x 1080 pixels (FullHD),"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB 2.0 1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (Truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.2) 1x HDMI 1.4b 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45) 1x Đầu nối nguồn",
Laptop Gaming Acer Nitro V ANV15-51-55CA,I5-13420H/16GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/ĐEN,24.790.000đ,27.990.000đ,NVIDIA GeForce RTX 4050 6GB GDDR6 VRAM,16GB,DDR5 5200 MHz,"2 khe (8GB + 8GB), Nâng cấp tối đa 64GB (cắm sẵn 16GB)",512GB PCIe NVMe SSD (nâng cấp tối đa 2TB),15.6 inches,Acer ComfyViewLED-backlit TFT LCD45% NTSC,"4 cell, 57Wh",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i5-13420H (8 lõi / 12 luồng, upto 4.60 GHz, 12 MB)",1 x USB Type-C™3 x USB-A1 x HDMI® 2.1 port with HDCP support1 x 3.5 mm headphone/speaker jack1 x Ethernet (RJ-45) port1 x DC-in jack for AC adapter,
iMac M4 2024 24 inch 8CPU 8GPU 16GB 512GB | Chính hãng Apple Việt Nam,,38.990.000đ,39.990.000đ,GPU 8 lõi,16GB,,,512GB,24 inches,Màn hình Retina 4.5K1 tỷ màuĐộ sáng 500 nitDải màu rộng (P3)Công nghệ True Tone,,macOS,4480 x 2520 (4.5K),Apple M4 8 lõi với 4 lõi hiệu năng và 4 lõi tiết kiệm điệnNeural Engine 16 lõi,2x Thunderbolt 4 (lên đến 40Gb/s)USB 4 (lên đến 40Gb/s)USB 3.1 Gen 2 (lên đến 10Gb/s)DisplayPortJack cắm tai nghe 3.5 mm có hỗ trợ nâng cao cho tai nghe trở kháng cao,
Laptop Lenovo IdeaPad Slim 5 OLED 14IRH10 83HR0001VN,I5-13420H/32GB/1TB PCIE/14.0 WUXGA OLED/WIN11/XÁM,21.990.000đ,23.490.000đ,Intel UHD Graphics,32GB,DDR5-5600,2x 16GB SO-DIMM DDR5-5600 (Tối đa 32GB),"1TB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, 2x M.2 SSD, nâng cấp lên đến 1TB)",14 inches,Độ sáng 400nits Độ phủ màu 100% DCI-P3DisplayHDR True Black 500,60Wh (65W USB-C Slim (Gắn tường)),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB-A (USB 3.2 Gen 1) 1x USB-A (USB 3.2 Gen 1), Luôn bật 2x USB-C (USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.4 1x HDMI 1.4b 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ microSD",
Laptop ASUS  VivoBook S 16 OLED S5606MA-MX051W,U7-155H/16GB/512GB PCIE/16.0 3.2K OLED/WIN11/XANH,24.990.000đ,29.990.000đ,Intel Arc Graphics,16GB,LPDDR5X Onboard,,512GB M.2 NVMe PCIe 4.0 SSD,16 inches,Độ sáng tối đa 600nits HDRGam màu 100% DCI-P3Tỷ lệ tương phản 1.000.000:1Ánh sáng xanh ít gây hại hơn 70%TÜV Rheinland-certified1.07 tỷ màu,"75WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,3200 x 2000 pixel (WQHD+),"Intel Core Ultra 7 155H 1.4 GHz (24MB Cache, up to 4.8 GHz, 16 lõi, 22 luồng)",2x USB 3.2 Gen 1 Type-A2x Thunderbolt™ 4 supports display / power delivery1x HDMI 2.1 TMDS1x 3.5mm Combo Audio JackĐầu đọc thẻ Micro SD,
MacBook Pro 14 M4 10CPU 10GPU 24GB 1TB | Chính hãng Apple Việt Nam,,49.990.000đ,,10 lõiNeural Engine 16 lõi,24GB,,,1TB,14.2 inches,"Màn hình Liquid Retina XDR XDR (Extreme Dynamic Range) Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR) 1 tỷ màu Dải màu rộng (P3) Công nghệ True Tone Hỗ trợ tối đa hai màn hình ngoài",Pin Li-Po 72.4 watt-giờ Thời gian xem video trực tuyến lên đến 24 giờ Thời gian duyệt web trên mạng không dây lên đến 16 giờ,macOS,3024 x 1964 pixels ,Apple M4 10 lõi với 4 lõi hiệu năng và 6 lõi tiết kiệm điện,"Khe thẻ nhớ SDXC Cổng HDMI Jack cắm tai nghe 3.5 mm Cổng MagSafe 3 Ba cổng Thunderbolt 4 (USB‑C) hỗ trợ: Sạc, DisplayPort, Thunderbolt 4 (lên đến 40Gb/s), USB 4 (lên đến 40Gb/s)",
Laptop Lenovo ThinkBook 14 G6 IRL 21KG00RDVN,I5-13420H/16GB/512GB PCIE/14.0 WUXGA/WIN11/XÁM,17.990.000đ,19.990.000đ,Intel UHD Graphics,16GB,DDR5-5200,2x 8GB (Nâng cấp tối đa 64GB DDR5-5200),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Hai ổ đĩa, 2x M.2 SSD, nâng cấp tối đa 2TB)",14 inches,Độ sáng 300nits Màn hình chống chói Độ phủ màu 45% NTSC,60Wh,"Windows 11 Home Single Language, English (Bản dùng thử Office + Absolute Home & Office Basic 1 năm)",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB 3.2 Gen 1 1x USB-C 3.2 Gen 2 (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x Thunderbolt 4 / USB4 40Gbps (Truyền dữ liệu, Sạc, DisplayPort 1.4) 1x HDMI 2.1 1x Headphone / microphone (3.5mm)1x Ethernet (RJ-45)1x SD card reader",
Laptop Lenovo V14 G4 IRU 83A000FNVN,I5-13420H/16GB/512GB PCIE/14.0 FHD/WIN11 PRO/XÁM,13.790.000đ,14.590.000đ,Intel UHD Graphics,16GB,DDR4-3200,Tối đa 16GB (8GB Onboard + 8GB SO-DIMM),"512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Lên đến hai ổ đĩa, nâng cấp tối đa 1TB)",14 inches,Độ sáng 300nitsMàn hình chống chóiĐộ phủ màu 45% NTSC,"38Wh, 65W USB-C (3-pin)","Máy nguyên bản Free OS, được tặng Windows 11 Pro",1920 x 1080 pixels (FullHD),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB 2.0 1x USB 3.2 Gen 1 1x USB-C 3.2 Gen 1 (hỗ trợ truyền dữ liệu, Power Delivery 3.0 và DisplayPort 1.2) 1x HDMI 1.4b 1x giắc cắm kết hợp tai nghe/micrô (3.5 mm) 1x Ethernet (RJ-45) 1x đầu nối nguồn",
Laptop Lenovo ThinkPad E14 GEN 5 21JK00H5VN,i5-13420H/16GB/512GB PCIE/14.0 WUXGA/WIN11/ĐEN,19.990.000đ,22.990.000đ,Intel UHD Graphics,16GB,DDR4-3200,"8GB Onboard + 8GB SO-DIMM DDR4-3200 (nâng cấp tối đa 40GB DDR4, (8GB soldered + 32GB SO-DIMM))",512GB SSD M.2 2242 PCIe 4.0x4 NVMe Opal 2.0 ( nâng cấp tối đa 1TB),14 inches,Độ sáng 300 inits  Màn hình chống chói  Độ phủ màu 45% NTSC ,47Wh,Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8C (4P + 4E) / 12T, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","1x USB 2.0 1x USB 3.2 Gen 1(luôn bật) 1x Thunderbolt 4 / USB4 40Gbps, 1x USB-C 3.2 Gen 2  (truyền dữ liệu, Power Delivery 3.0, DisplayPort 1.4) 1x HDMI 2.1, up to 4K/60Hz 1x Headphone / microphone combo jack (3.5mm) 1x Ethernet (RJ-45)",
Laptop Lenovo IdeaPad Slim 3 16IRH10 83K20002VN,I5-13420H/16GB/512GB PCIE/16.0 WUXGA/WIN11/XÁM,15.790.000đ,16.490.000đ,Intel UHD Graphics,16GB,DDR5-4800,"2 khe (1 x 8GB Onboard + 1 x 8GB SO-DIMM, tối đa 24GB)","512GB SSD M.2 2242 PCIe 4.0x4 NVMe (Tối đa hai ổ đĩa, nâng cấp lên đến 1TB)",16 inches,Độ sáng 300nits Màn hình chống chóiĐộ phủ màu 45% NTSC,60Wh (Đầu tròn 65W (3 chân)),"Windows 11 Home Single Language, English",1920 x 1200 pixels (WUXGA),"Intel Core i5-13420H, 8 lõi (4P + 4E) / 12 luồng, P-core 2.1 / 4.6GHz, E-core 1.5 / 3.4GHz, 12MB","2x USB-A (5Gbps / USB 3.2 Gen 1) 1x USB-C (5Gbps / USB 3.2 Gen 1), với USB PD 3.0 và DisplayPort 1.2 1x HDMI 1.4 1x giắc cắm kết hợp tai nghe / micrô (3.5 mm) 1x đầu đọc thẻ SD 1x đầu nối nguồn",
Laptop ASUS ROG Strix G16 G614JU-N3206W,I7-13650HX/16GB/1TB PCIE/VGA 6GB RTX4050/16.0 WUXGA 165HZ/WIN11/XÁM/BALO/CHUỘT,31.990.000đ,38.990.000đ,NVIDIA GeForce RTX 4050 (194 AI TOPs) 6GB GDDR6,16GB,DDR5-4800 SO-DIMM,2x SO-DIMM (Nâng cấp tối đa 32GB),1TB PCIe 4.0 NVMe M.2 SSD2x DDR5 SO-DIMM slots 2x M.2 PCIe,16 inches,Độ sáng 250nitsĐộ phủ màu SRGB 100%Màn hình chống chóiG-SyncDolby Vision HDRROG intelligent cooling,"90WHrs, 4S1P, 4-cell Li-ion",Windows 11 Home,1920 x 1200 pixels (WUXGA),"Intel Core i7-13650HX (2.6 GHz 24M  Cache, up to 4.9 GHz, 14 lõi: 6 P-cores and 8 E-cores)",1x RJ45 LAN 1x Thunderbolt 4 hỗ trợ DisplayPort (40Gbps) 1x USB 3.2 Gen 2 Type-C (DisplayPort / Sạc / G-SYNC) (10Gbps) 2x USB 3.2 Gen 2 Type-A (10Gbps) 1x HDMI 2.1 FRL1x Giắc cắm âm thanh kết hợp 3.5 mm,
MacBook Pro 16 M4 Max 16CPU 40GPU 48GB 1TB | Chính hãng Apple Việt Nam,,101.990.000đ,102.490.000đ,40 lõiNeural Engine 16 lõi,48GB,,,1TB,16.2 inches,"Màn hình Liquid Retina XDR XDR (Extreme Dynamic Range) Độ sáng XDR: 1.000 nit ở chế độ toàn màn hình, độ sáng đỉnh 1.600 nit (chỉ nội dung HDR) 1 tỷ màu Dải màu rộng (P3) Công nghệ True Tone Hỗ trợ tối đa bốn màn hình ngoài",Pin Li-Po 100 watt-giờ Thời gian xem video trực tuyến lên đến 21 giờ Thời gian duyệt web trên mạng không dây lên đến 14 giờ,macOS,3456 x 2234 pixels ,Apple M4 Max 16 lõi với 12 lõi hiệu năng và 4 lõi tiết kiệm điện,"Khe thẻ nhớ SDXC Cổng HDMI Jack cắm tai nghe 3.5 mm Cổng MagSafe 3 Ba cổng Thunderbolt 5 (USB‑C) hỗ trợ: Sạc, DisplayPort, Thunderbolt 5 (lên đến 120Gb/s), Thunderbolt 4 (lên đến 40Gb/s), USB 4 (lên đến 40Gb/s)",
Laptop ASUS Zenbook 14 UX3405CA-PZ204WS,U9-285H/32GB/1TB PCIE/14.0 3K OLED 120HZ/CẢM ỨNG/BÚT/WIN11 + OFFICE/XANH/TÚI,34.990.000đ,38.990.000đ,Intel Arc Graphics,32GB,LPDDR5X on board,,1TB M.2 NVMe PCIe 4.0 SSD,14 inches,Thời gian phản hồi 0.2ms Độ sáng 400nitsĐộ sáng tối đa 500nits HDRĐộ phủ màu 100% DCI-P3 Gamut mappingHDR True Black 5001.07 tỷ màuGiảm 70% ánh sáng xanh có hạiTÜV Rheinland-certifiedMàn hình chăm sóc mắt SGS,"75WHrs, 2S2P, 4-cell Li-ion",Windows 11 Home + Microsoft Office Home 2024 + Microsoft 365 Basic,2880 x 1800 pixels,"Intel Core Ultra 9 285H 2.9 GHz (24MB Cache, up to 5.4 GHz, 16 lõi, 16 luồng)",1x USB 3.2 Gen 1 Type-A (tốc độ dữ liệu lên đến 5Gbps) 2x Thunderbolt 4 hỗ trợ hiển thị/cung cấp điện (tốc độ dữ liệu lên đến 40Gbps) 1x HDMI 2.1 TMDS 1x Giắc cắm âm thanh kết hợp 3.5mm,Intel AI Boost NPU up to 13
MacBook Air M3 15 inch 2024 8CPU 10GPU 16GB - 512GB Sạc 70W | Chính hãng Apple Việt Nam,,31.990.000đ,37.990.000đ,GPU 10 lõi,16GB,,,512GB SSD,15.3 inches,True Tone,,MacOS,,CPU Apple M3 8 LõiNeural Engine 16 lõi,Cổng sạc MagSafe 3Hai cổng Thunderbolt / USB 4,
Apple Mac Studio M3 Ultra 2025 28CPU 60GPU 96GB 1TB | Chính hãng Apple Việt Nam,,115.990.000đ,,GPU 60 lõiNeural Engine 32 lõiCông nghệ dò tia tốc độ cao bằng phần cứngBăng thông bộ nhớ 819GB/s,96GB,,,1TB,,Hỗ trợ đồng thời lên đến tám màn hình,,macOS,,CPU 28 lõi với 20 lõi hiệu năng và 8 lõi tiết kiệm điện,"4x Thunderbolt 5 (USB‑C) hỗ trợ: Thunderbolt 5 (120Gb/s) / USB 4 (120Gb/s) /USB 3 (10Gb/s) / DisplayPort 2.1 2x USB 3 (USB‑A) (5Gb/s) Cổng HDMI 2.1 Ethernet 10Gb Jack cắm tai nghe 3.5 mm Mặt trước: 2x Thunderbolt 5 (120Gb/s), Khe thẻ n",
Laptop Gaming Acer Nitro V ANV15-51-75GS,I7-13620H/16GB/512GB PCIE/VGA 6GB RTX4050/15.6 FHD 144HZ/WIN11/ĐEN,28.990.000đ,29.990.000đ,NVIDIA GeForce RTX 4050 6GB GDDR6 VRAM,16GB,DDR5 5200 MHz,"2 khe (8 GB + 8 GB), Hỗ trợ nâng cấp tối đa 64GB","512GB PCIe NVMe SSD (nâng cấp tối đa 2TB Gen4, 16 Gb/s, NVMe)",15.6 inches,Acer ComfyView LED-backlit TFT LCD,"4 cell, 57Wh",Windows 11 Home,1920 x 1080 pixels (FullHD),"Intel Core i7-13620H (10 lõi / 16 luồng, upto 4.90 GHz, 24 MB)",1x USB Type-C  3x USB-A 2x USB 3.2 Gen 1 1x HDMI 2.1  1x 3.5 mm headphone/speaker jack,
